,name,price,url,brand,product_type,website
80,Samsung kølefryseskab RB34C705CS9/EF | Elgiganten,7499.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/kolefryseskab/samsung-kolefryseskab-rb34c705cs9ef/613874,Samsung,Kølefryseskab,Elgiganten
81,Samsung køle-/fryseskab RB33B610EBN/EF | Elgiganten,3499.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/kolefryseskab/samsung-kole-fryseskab-rb33b610ebnef/485479,Samsung,Kølefryseskab,Elgiganten
82,LG køleskab GLT71SWCSF | Elgiganten,7999.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/koleskab/lg-koleskab-glt71swcsf/299102,LG,Køleskab,Elgiganten
83,Indesit fryseskab UI8F1CW1 | Elgiganten,7719.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/skabsfryser/indesit-fryseskab-ui8f1cw1/297619,Indesit,Skabsfryser,Elgiganten
84,LG opretstående fryser GFM61MBCSF (metal sorbet) | Elgiganten,9999.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/skabsfryser/lg-opretstaende-fryser-gfm61mbcsf-metal-sorbet/299104,LG,Skabsfryser,Elgiganten
85,Logik køle-/fryseskab LDD115W23E | Elgiganten,1799.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/kolefryseskab/logik-kole-fryseskab-ldd115w23e/633646,Logik,Kølefryseskab,Elgiganten
86,Dometic Cool-Ice køleboks DCI70 | Elgiganten,2741.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/koletaske-og-koleboks/dometic-cool-ice-koleboks-dci70/174778,Dometic,Køletaske og køleboks,Elgiganten
87,Logik køle/fryseskab LS186W23E | Elgiganten,2499.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/kolefryseskab/logik-kolefryseskab-ls186w23e/591900,Logik,Kølefryseskab,Elgiganten
88,LG frysekøleskab GBB72SWEGN | Elgiganten,9999.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/kolefryseskab/lg-frysekoleskab-gbb72swegn/432401,LG,Kølefryseskab,Elgiganten
89,Whirlpool fryser UW8F2YWBIF2 | Elgiganten,4996.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/skabsfryser/whirlpool-fryser-uw8f2ywbif2/207679,Whirlpool,Skabsfryser,Elgiganten
90,Samsung kølefryseskab RB34C705CB1/EF | Elgiganten,7499.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/kolefryseskab/samsung-kolefryseskab-rb34c705cb1ef/613878,Samsung,Kølefryseskab,Elgiganten
91,Logik fryser LTF185W23E | Elgiganten,4999.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/skabsfryser/logik-fryser-ltf185w23e/645889,Logik,Skabsfryser,Elgiganten
92,Liebherr Comfort fryser GP 1213-21 057 | Elgiganten,2222.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/skabsfryser/liebherr-comfort-fryser-gp-1213-21-057/195775,Liebherr,Skabsfryser,Elgiganten
93,Scandomestic fryser SFS 56 W | Elgiganten,1445.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/skabsfryser/scandomestic-fryser-sfs-56-w/637313,Scandomestic,Skabsfryser,Elgiganten
94,LG køleskab GLM71MBCSF | Elgiganten,8999.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/koleskab/lg-koleskab-glm71mbcsf/299096,LG,Køleskab,Elgiganten
95,Hisense Freezers FV358N4ECD (Grey metallic textured) | Elgiganten,7499.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/skabsfryser/hisense-freezers-fv358n4ecd-grey-metallic-textured/687690,Hisense,Skabsfryser,Elgiganten
96,Whirlpool kølefryseskab WNF 821 E W | Elgiganten,4242.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/kolefryseskab/whirlpool-kolefryseskab-wnf-821-e-w/456345,Whirlpool,Kølefryseskab,Elgiganten
97,LG frysekøleskab GBB71MCEGN | Elgiganten,9499.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/kolefryseskab/lg-frysekoleskab-gbb71mcegn/432385,LG,Kølefryseskab,Elgiganten
98,Samsung kølefryseskab RB38C705DWW/EF | Elgiganten,5999.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/kolefryseskab/samsung-kolefryseskab-rb38c705dwwef/613868,Samsung,Kølefryseskab,Elgiganten
99,Whirlpool  minikøleskab ADN140W | Elgiganten,5158.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/minikoleskab/whirlpool-minikoleskab-adn140w/295799,Whirlpool,Minikøleskab,Elgiganten
100,Bosch Fryser GIV11AFE0 (N/A) | Elgiganten,4718.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/skabsfryser/bosch-fryser-giv11afe0-na/204830,Bosch,Skabsfryser,Elgiganten
101,Mobicool køleboks MCG15 | Elgiganten,2976.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/koletaske-og-koleboks/mobicool-koleboks-mcg15/398272,MOBICOOL,Køletaske og køleboks,Elgiganten
102,Samsung kølefryseskab RB34T602ESA/EF | Elgiganten,6315.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/kolefryseskab/samsung-kolefryseskab-rb34t602esaef/613866,Samsung,Kølefryseskab,Elgiganten
103,Electolux Fryser LUT5NE28U2 (Stål) | Elgiganten,9499.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/skabsfryser/electolux-fryser-lut5ne28u2-stal/626813,Electrolux,Skabsfryser,Elgiganten
104,Electrolux Kølefryseskab LNT3LF34W0 | Elgiganten,7099.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/kolefryseskab/electrolux-kolefryseskab-lnt3lf34w0/496905,Electrolux,Kølefryseskab,Elgiganten
105,LG køleskab GLM71MCCSX | Elgiganten,10999.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/koleskab/lg-koleskab-glm71mccsx/299101,LG,Køleskab,Elgiganten
106,Electrolux Køl/frys kombination ENP7TD75S | Elgiganten,15999.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/kolefryseskab/electrolux-kolfrys-kombination-enp7td75s/624867,Electrolux,Kølefryseskab,Elgiganten
107,Temptech minikøleskab VINT450RED | Elgiganten,999.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/minikoleskab/temptech-minikoleskab-vint450red/355466,Temptech,Minikøleskab,Elgiganten
108,Samsung køleskab RR39C7EC6B1/EF | Elgiganten,10999.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/koleskab/samsung-koleskab-rr39c7ec6b1ef/613872,Samsung,Køleskab,Elgiganten
109,Siemens Fryser GI81NVEE0 Integreret | Elgiganten,14799.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/skabsfryser/siemens-fryser-gi81nvee0-integreret/755947,Siemens,Skabsfryser,Elgiganten
110,LG køle-/fryseskab GBP31SWLZN (hvid) | Elgiganten,4999.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/kolefryseskab/lg-kole-fryseskab-gbp31swlzn-hvid/46211,LG,Kølefryseskab,Elgiganten
111,Miele køleskab KS4783ED cs N | Elgiganten,9292.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/koleskab/miele-koleskab-ks4783ed-cs-n/494395,Miele,Køleskab,Elgiganten
112,Miele fryser FNS4782EwsNEU2 | Elgiganten,11395.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/skabsfryser/miele-fryser-fns4782ewsneu2/494389,Miele,Skabsfryser,Elgiganten
113,Miele kølefryseskab KD4052EelActiveEU1 | Elgiganten,6234.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/kolefryseskab/miele-kolefryseskab-kd4052eelactiveeu1/494387,Miele,Kølefryseskab,Elgiganten
